r_fighter,b_fighter,date_d,odds_r,odds_b
islam makhachev,ian machado garry,2026-08-15,1.286,3.55
mackenzie dern,gillian robertson,2026-08-15,1.4,2.9
charles johnson,jose ochoa,2026-08-15,3.8,1.263
mansur abdul-malik,dustin stoltzfus,2026-08-15,1.154,5.25
edson barboza,esteban ribovics,2026-08-15,4.8,1.182
chidi njokuani,joel alvarez,2026-08-15,2.95,1.385
jalin turner,kaue fernandes,2026-08-15,1.556,2.4
donte johnson,eric mcconico,2026-08-15,1.4,2.9
vicente luque,tresean gore,2026-08-15,2.1,1.714
rafael tobias,lucas fernando,2026-08-15,3.3,1.323
neil magny,ramiz brahimaj,2026-08-15,1.909,1.833
jeremiah wells,myktybek orolbai,2026-08-15,6.25,1.118
nasrat haqparast,chris padilla,2026-08-22,1.91,2.099
jackson mcvey,wes schultz,2026-08-22,1.628,2.592
jamall emmers,lerryan douglas,2026-08-22,4.2,1.312
shamil gaziev,kennedy nzechukwu,2026-08-22,1.791,2.265
márcio barbosa,ryan kuse,2026-08-22,1.158,7.335
shanelle dyer,elise reed,2026-08-22,1.179,6.58
carli judice,jeisla chaves,2026-08-22,1.235,5.255
marquel mederos,mason jones,2026-08-22,3.4,1.417
reinier de ridder,roman dolidze,2026-08-22,1.312,4.2
sergey spivak,vitor petrino,2026-08-22,2.364,1.733
anthony hernandez,gregory rodrigues,2026-08-22,1.635,2.576
